User_Name,Comment
jeremyramone,Everyone read John ioneddis Stanford University epidemiologist/physician s research in the cv19 serology study. The fatality rates have been skewed incorrectly.
unclepatsy666,Omg !
Stephanie Duncan,🗣️WOW🤦🏽‍♀️
First Last,Is the news guy to good for a mask
Kristi,The poor soldier behind the governor holding the sign. Wtf??? They don’t have a sign holders tripod in this state?
Mikie Lee,"LOL....you call that shopping? 6 feet apart, gloves barely work, they spread germs faster, can't wait inside the shop, makes it easier to rob the place."
A Rodriguez,"I'll stay home for another month unless I see POLITICIANS WALKING ON THE STREET, SHOPPING ETC.."
fibsernum30,"Since the only things that have helped slow the rate of infections and deaths have been staying apart and wearing masks, why wouldn't we expect the rate to start climbing again if we stop doing those things? Can someone explain why, in the absence of testing and effective treatments or a vaccine, it is ok to return to normal? I seem to be missing something."
Rich Richie,The translator i don’t trust after all these liars ahahah
James Howard,#NAME?
Nt Tadese,Segregation is coming up on US future
Totally Rad,Plus my cat died too😭
PartyForever,Let’s watch this space 😑
DRC,"Good luck Georgia,ya gonna need it. SMH"
Stephanie Szto,Why can’t just let them try out?
john smith,"It wont be the same, but its back to business..people."
DimensionZombie,https://youtu.be/_n8ljazbE3U
David Kelly,420
Eddie Leaux,https://extractlovecigarshop.com/
wawin08,And this was a great job according to the President. Covid 19 under control! Lame
Daniel Salefski,"I can't believe the people in this video are all walking around and doing interviews without a mask on, or better yet with the mask on and down around thier neck. What is wrong with these people?"
aspie40hero,"I'll tell ya what, I ain't gonna go to my job in an unhealthy work environment."
Beckett B,Reopening is just going to make cases skyrocket again 🤦🏼
rocky singh,Damn out of all the things you could open and you choose these things hair salons and bowling alleys but I get it you want a nice hair cut before you catch covid 19 lol not so much common sense there
Soulja YT,"You're trying so hard to distract us, but from what?? #WWG1WGA"
DJ,"clicks on video
FiFtY tHoUsAnD SeVeN hUnDrEd EiGhTy"
S.S. H-Whitehorse,"It shows Georgia is poor!
The state I live in has reserves"
Alex Peres,Fool!
1c3 sLy1,"I'm glad I cut my own hair. Bad enough I can't go visit my 96 year old grandmother again because people in my house have to come and go for essential work or shopping. Now I'm supposed to trust these businesses with my safety when we still don't even know exactly how it's spread and still don't test enough to know who had/ has it? 
I wouldn't trust any of these mnfers with my life or my family's life. Just stupid. I don't even want people in my own home to leave and come back. No way I'm going to go to a barber shop and come home. "
lily Rose,Hot ass mess what is the rush to have a new hair due
akui88,body art?
Isaiah Israel,Dogs can be trained to let you know who is infected!
Connor Barry,JUST CUT YOUR OWN HAIR
7531monkey,Kemp should be required to visit and mingle at every business opened.
Stefan Ross,..... TOTAL idiots.  This may just increase the death toll significantly!
Amy Liu,2:50 Not sure if her mask is put on properly
M J,Uh oh....
Hector Coronel,Did he mention  re opening more hospitals?
Kirsten Marie,"Pandemics generally go through two spikes. SARS-COV-2 infections are likely going to start increasing again. Perhaps not tomorrow or next week, but eventually. 

This situation is such a double edged sword."
Wu Xing Do Martial Arts,"Its simple, if you dont want to re-open your business or leave your house then dont. But I cant stay closed any longer or I will not have a business to re-open to support my family."
Randy Teal,"less Georgians, I am ok with it."
"Trains,Transformers&PATRIOTSFan1236",Georgia doing Georgia things
Lotus Flower,Damn. Don't do it!
Mainer 57,We'll see if you're at all sorry for this soon
John Blackburn,Anybody have a Flowbee for sale?
Two Plus Two Is Five,"I hope all will be well in Georgia, I’m sure they will be ok. I know six people that had the virus and they all recovered. Hell I think I had the virus two years ago but how would I know I’m but a simple man."
MO DEL,Time to open
BrendaSue Pete,"About half of us already have immunity,  the rest of us need That immunity."
jimmy aber,Simple precaution of face cover for all when in a building could make so much difference. We seem to not want to be bothered or believe we are invincible. Too many in my area below 50 years of age with minor or no underlying problems died.
DaFiresMen,"To be completely fair the death toll should be read as ""possibly"" Covid 19 deaths. If a person has symptoms and have not been tested, they are listed as a death. I understand that because you are not going to waste a test on a dead person."
Nina Banana,"i hope the economy is worth risking lives of the front liners. If they die off, do we have a plan B?"
Mark Howard,This is more cyberpunk than i could ever imagine.  I am watching a weirdo on tv worrying about getting her haircut while the barber is dressed in some corpogov safeguard.  Capitalism/consumerism/vanity.  I love this brasil thing we have made.
Luan Nguyen,While hospitals face a shortage of protective equipment. These hair salons and restaurants are geared up to run their business. Ridiculous.
alex rios,Good for them//The money make the money make the money//Don’t forget get a life insurance🦠😷💀
Hli Yaj,It is amazing how the owner of the salon protects herself but not the customer.   Aw....customer will be infected.
edwin deleon,safety first
KoalaBearPup,Who saw lunar eclipse
Jonni0608,"Those hair salons are really taking the situation seriously and taking measures to earn a living while protecting themselves and their clients.
I am sure it's a heart wrenching decision in any case."
Ava Baby,Covid-19 doesn’t do well in the heat and the sunlight so I think it will come to a hault soon
JVP Connects,Does anyone know if Kemp's family is out and about? Does he let them take the risk?
John A Vallone,Nobody's making anybody open up. It's up to the business owner. Governor not telling you that you have to open up. He saying you can and not be thrown in jail or fined like a lot of other states are doing.
Joshuavangorden,Will let's see what happens in  2 weeks may 8th we will see. I hope no one gets sick. However the greed of $$ rules everything.
Matthew Boggs,Just a few businesses! How many? All of them!!!!!
Clifton Harris,"the stores may be open, but it's ultimately up to you if you still practice being distanced."
H Lee,Seems the business owners are being careful and taking precautions. Wishing Georgians the best and hoping there isn’t a crazy spike in covid cases. 🙏🏻
Gabe Shakour,I definitely like the businesses that are being really smart about how they open and maintain social-distancing. That hair salon with the two guys seemed to really have a good procedure in place. I just hope that this reopening wasn’t preemptive and before we learned everything we need to know about this virus.
Adam Konieczny,They are all going to get sick...
Artful Soul,Personal choice
manbeef,If ur a scared bit** stay home
Vostro,Who are the responders to those famous polls? I know nobody who has been asked. Poll is conducted among rich and panic people only?
Thomas Hall,What about China?
Chris Grande,Jeesh got mixed up between the restauranteur castellucci and the sopranos actor castelluccio. I was thinking whoa he owns 7 restaurants? In Georgia???
Cartoon Central,GEORGIA WAS NEVER CLOSED! ATLANTA WAS!
Koski Co,Yay!... Brett Crozier got his job back!
Miguel Soliz,I’m extremely happy i shave my own head at home. It never even crossed my mind people would be missing salons and barbers. I personally recommend we all adopt the road warrior hair styles. 😜
Caleb Kang,did the anchor's left cheek have botox injection?
jayvetv,ohh yeah the state is open “let’s go bowling” bowling alley is empty lol
Pj Millah,She just cross contaminated that entire sink. I hope she wipes down all of that stuff. I wish the best for her and I do like that she has a face shield. That was a good choice.
Yousir Cantknow,Just make cornmash and rock legal and nobody will need to go to work again!
Sou Saechao,What happen to bail out money
Richard L,Fox News only interview business that like the idea and don't bother ask anyone who disagree.
써니의_가발가게,Mr.Santa got his summer job
Henry Marin,The level of ignorance of these Governors. Is ridiculous 🤦🏽‍♂️
En P,Well men should have taken this chance to shave there heads
thedonleroy,How in the world are movie theaters & bowling alleys important enough to be among the first businesses to reopen?
Apr-83,At least some people still have common sense.
BARRY ZARCULiA,I agree with the mayor . Bowling and Hair and Nails arent a necessity
Pauly-Wauly Doodlealdaday,"Patchwork failure of America. This is only going to keep the virus around. it is going to take 2 weeks from now until the ""flare up"" is felt."
Justin W,"Hey is anyone else having problem ordering/finding actual masks? I don't mean makeshift-scarf-as-masks, I mean the real thing. Can someone help me, please?"
Izzy Bizzy,Bowling alley ??? Give me a Kit Kat bar...
KMF,What about churches? They should be first.
LIL JON'S,Stay home for football..
Sweet Ambitions,So basically all the places that cater to the rich and idle?
hiphug1ger,"I think these places that are opening need to require that everyone who leaves their house needs to be wearing a mask, face shields at restaurants so you can eat but keep you saliva to yourself."
Dwight Prewitt,Here in Atlanta surrounding area It was still ppl out during the stay at home order..... U ride by the supermarkets or home improvement stores... They are packed with ppl... I'm a truck driver Here and stores I deliver to be packed...
Shirley Hall,In order to show correct data you cant look at the data every day it changes  but test in 6 weeks will give better data
THAT eLmo GUY,Poussey Washington needed her cut.
MentalSupremacy VisionCube,How noce he has it all covered but i thick they forgot one thing.  How to do you determine an carrier without symtoms when it can live in the humid air for up to 3 houra forgot?
snorkle99,Minecraft is a great way to deal with this
What Is Hot Today,Just DUMB
Berk Sarioz,"So let me get this straight. We're igniting the economy by CONSUMING more non-essential services and products? Maybe just maybe, we don't need that much money if we're only spending on essentials. I understand we need redistribution for housing/business rent expenses, but still. How's economy being great by a short haired lady getting a haircut she can really survive without."
Steven R.,"Deny them care if they get sick. It would be a waste since they are so willing to get infected.  Can't wait for these idiots to die out.
#NaturalSelection"
Julie,I really dont think this is a good idea but  if they must open I guess & take precaution Which looks these ones have and the people also being responsible stay in your cars untill it's your turn  ...
Rodeo Clown Obama,but 45k people in cars  a year
austin h,Still less than the flu.
Jonathan Ngo,Was her first customer the girl from Orange Is The New Black??
Jazzie Red,"All those people wearing masks....  Improperly.  That lady on the phone, huge gaps everywhere."
Strelnikov,"I'm confused by their ""mixed feelings"", given that the Georgia government isn't forcing anyone to open back up, they are simply allowing business to make their own choices again.... If you are uneasy about opening up, just don't open up."
aspie40hero,"I have a question,  how does gloves and a mask, protect someones elbows and forearms,  in a massage? Covid is also spread through sweat and ingrown hairs, zits, as well as dead skin. It's just foolish to reopen massage therapists or pts, or personal trainers. Do some research first. The governor seems like he wants everyone to get sick."
Foxplayz,As a bald person lol... all I have to do is order a bunch of razors
digitaldirtnap1,"Hopefully it goes well and the rest start opening cautiously. Cape cod Massachusetts we don’t have many affected, hundreds out of tens of thousands maybe hundred thousand? I’ll edit.so 225,000 year round and maybe double that for summer, I honestly believe it’ll be ok."
dru's take,"So, African communities being hit the hardest... Georgia  having one of the largest African American communities in the U.S... just seems weird."
K Lu Quinn,I like their security measures. Good the owners are taking their own security and precautionary measures.
Don Conrard,"I live in Seattle, but I'm tempted to fly to Atlanta just to get a haircut. I'm starting to look like Bigfoot."
Gustavacres Acres,Churches are shut down forcefully even though it's against the constitution and so wrong yet the liquor store tax revenues are open.
Land Lord,"You can reopen business, but hard to reopen costumers"
Jeremiahzzz Real,Wake up America the news media have been taking over to create a painic to change the world as we know it!these numbers are being made up 50 thousand is a lie
believe German K5,TRUMP 2020
Jaso Foo,4 years of lying and smearing from fake news.
Tom K,Way to go Governor 🙄 By opening up businesses he is telling Georgians to be in good shape with hair and nails done before you get admitted in the ICU to put Ventilator on 🥺
Love T,"As short as her hair is, she could have done it herself... I don’t see the point of risking your health for that small amount of hair..."
George Vreeland Hill,It's going to get worse because of this. We will pay.
Dan Kuo,Fake news ABC is spreading confusion again as each business is free to open safely by complying with Federal and State recommendations. No one is pointing a gun to force reopening.
Dennis Campoverde-Lema,"Don't put Minnesota on that list we open marinas (dock and boat rentals) cabin resort, golf courses, and bait shop for fishing.  All these activities you can social distance yourself"
vyr01,"you know what is great, you do not have to open if you do not want to  ,      and if you do want to get back to work you can   see how that works? it is a great thing"
OhPeaches Peaches,Did she really say that covid -19 is worse then the last 3 major us wars and 9/11 put together?
Young Rascal,Mfs getting dumber and dumber like is that serious
Nicholas Moriarty,"What are Estisitions? I’ve heard of Estheticians, but not Estisitions. Many Governor Kemp is dumb as a rock. 🤦🏼‍♂️ I truly hope for all the people and workers in Georgia, this doesn’t backfire. Stay safe my southern brethren!!!
I’m in Minnesota and they made it sound like we’re reopening.... Certainly not the case, Governor Walz gave the ok for office buildings with no inside customers the ok to reopen with strict distancing policies for workers. He said Gyms, Hair Salons, Bowling alleys, Bars/Restaurants and Tattoo shops will be one of the last on the list to open. With sporting events and Concerts being the absolute last."
Richard Tew,Body art studios.  My ass.  Keep the tattoo and beer joints closed for ever.  Useless.
Julie,i hope it won't get worse
Sonali Rao,You can open up as many businesses as you want but people aren’t going to show up.
Eric Li,Wow! ABC always tell one side of the story.
Gerardo,Don't we have unlimited money in the US ?! Just make those money making machines work double time
jaws392,"Unfortunately you have to start opening businesses up little by little. You can't keep living in fear and when you run out of money your in a huge mess of another problem. Take precautions at work wear a mask, wear gloves. Sometimes in life you have to stare fear right in its ugly face."
1870relee,"Time to get back to work.  If the economy dies, more people will die than from the virus."
Henry Marin,I wonder is the A economical set back will be important when everyone is dead.
big POPPA,This is crazy. You people in Georgia is just money hungry. Look at the death rate of the virus why would anyone reopen?
jeebs621,"I don’t know why a hairdresser would want to do hair. It’s literally person to person contact, I feel that’d probably be the worst/easiest way to contract the virus."
Jordan Dude,3:16 Wtf
Dee J,FEAR..Fear..Fear..Fear... MSM is a joke!
Stanley C,"Yea, I can see why Georgia has to open with all these debt in their state's balance sheet. They also don't need to pay unemployment benefits once businesses are open. Workers no longer qualifies so they have to force to work. It also shifted a lot of the unemployment payments to small business owners rather than from the state. This is not good at all. A lot of small businesses owner is going to die with rising coronavirus cases. Georgia hasn't even peaked yet."
Larry Langley,a Flair-up is Dead people
Alex Miller,"Ok I’m sorry, I don’t think nail salons or hair cut places are known as “essential jobs” in the time of an epidemic, I don’t think if somebody “looks good” even matters. Good for them for taking every precaution available though. I’m happy they are trying to be smart about it at least."
Marvin Prietos,Georgia will see a massive spike.
John A Vallone,One is too many  . But how many believe that the number of deaths are about 25% off?
L. S,Propaganda
ConTroller,"Trump covid 19 octopus soup, made from highly trained team of octopuses specialized in combating covid 19, prior to being cooked. Did Mike pence just apologized for Trump's remarks and Trump got upset and walked out of the briefing? Is he going to fire Mike Pence too?"
rivernorthhomes,"What good is staying closed another month..the virus will still be there waiting outside. USA took the wrong approach, but keeping everyone locked inside you are just delaying the inevitable when they are free to go out. Sweden took the best approach and they are a few weeks out from obtaining herd immunity. Sweden kept everything open but told the elderly and the sick to stay home. That is what we should have done"
Lafemme Sasa,How this governor pronounced “esthetician” 🤔
John Connor,"Shut up, and get back to work !"
Robi Hanibal,overpaid fake news
Jeffrey Alberg,If you do not feel like you are not safe.  Do not go out.
The Don Of Turtles,They won't have to worry about paying bills whe they are dead that's forsure
Michael Lim,"In 1918 they opened and then had to close it back up again. We have history to look back at. They did not. So why are we opening up? 
I want to open as much as anyone else. I have a business to run. But to me, human rights exceeds my economic rights. Money comes and goes, human lives does not."
Dennis Janda,At least they have a choice now versus not having one before..How can that be bad except to Fake News !!
Willard Wayne,"These actors are doing their best to make us believe we're all gonna get sick and die from a virus that 80 degrees and 80 proof liquor kills. 

The state's that didn't shut down faired no worse and in a few instances better than states that did shutdown."
Tim D,Guess they were dissapointed  the curve was flattening. Then they all go running out together. This will be interesting to see.
Hooyahfish,Wow these business owners sound like communists! They are taking temperatures of people? Wow.
PVL,gloves another idiot wearing gloves this one with receiver and her mouth right up glove and with mask she'll adjust back - that's how careless it passes...gloves lol
Dove Daniels,how can someone clean and sanitize the salon after every customer and guest. that's a lie. it would take about 2 to 4 hours to clean the entire salon after each person. they should stop stretching the truth. and you have to change your gloves and capes for every guest. you will have to buy a pack of gloves every 3 days or so. they are stretching the truth. ijs but good luck to them. my life comes first and my guest are glad i am staying closed. someone said cutting hair is her life's work. I like growing and evolving not stagnant. some times things happen for a reason to push you out of your comfort zone.
Paul Rice,"I would advise people to move to the mountains 🏔 build a cabin get a gun and stay away from people, I guess I am a germ 🦠 phobic, bug 🐛 people walking around touching everything and breath everywhere.  China 🇨🇳 CCP has changed America permanently germ 🦠 monsters are everywhere."
J H,"If everyone follow the proper precautions and are all masked & gloved then this might actually work. It's the unmasked people you gotta be really scared of and stay far, far away from."
Nug U,"Everyone in every other country is chillin. Free healthcare, UBI, jobs protected, stay at home order. Here in the US we're just sheep for the slaughter LOL"
Talex 7782,Why not open schools then?
Jesus Flores,"I'm not hopeful that he is right. I am hopeful that citizens stay healthy and safe and do the best they can to protect themselves and everyone around them. Love your neighbor. Love all those around you as you love yourself. Keep everybody safe. This will not prevent cases of the virus. In fact, it is sure to either stay as flat as it is, but longer than it would if they just sheltered in place, or it will cause a rise in cases. Hopefully, it won't be a big rise. Stay safe everybody."
Mjiles Jiles,The mayor's hot.😍
Lance A,"Unemployment is your money. It's what is taken in part of your check. Georgia haven't hit their peak yet. 6 feet ain't far enough. Georgia workers are letting their jobs kill them. The spread commences. Wall Street controls the politicians. U telling me corporations don't save and their tax free. Lots of people are going to die. Why? There is no cure, dummies."
Miguel Trujillo,Georgia is risking the lives of its citizens for a few dollars. When you're citizens start dying who will take up their contribution to the economy?????vanity will kill you!
John Keith,"If you screw up on the slightest you take all the hard work that Doctor's Nurses,  EMT , Fire fighter's, Caregiver, Police, and throw it OUT the Window. Good luck i will watch those numbers closely."
Un FNbelievable,"A good point to start is where you don't end up stepping over dead bodies.  But if you want to check it out, check it out!"
Karen Lee,All Georgia care about is money shame
7 violett,"That’s why I drove out of Georgia before it got any worse. Now. This is going to get a lot worse than I expected. Glad I’m not out there, I hope people don’t neglect their masks and sanitation."
Carlos Navarro,Does the word asymptomatic sound familiar.......and do they know what it means?.......it only took one to spread it around the world...let alone a state.....once again............animal gets run over and will learn the lesson....a human get run over and he will cross the same road the same way.........Georgia will be an outbreak starting point for a second wave in winter.
MentalSupremacy VisionCube,All red states period only red states its only red people not blue states its politicized as usual
Jeff Brigman,"If my people who are called by my name will humble themselves and pray, and seek my face 📖 and turn from their wicked ways, then I will hear from heaven and will forgive their sin, and heal their land. 2 chronicles 7:14  📖🙏"
Mary Murdoch,"I’m a hairdresser in South Carolina...I need to work so badly. No unemployment yet, no stimulus yet...
But Georgia reopening like it did makes me nervous as hell. I was hoping the South Carolina governor wouldn’t follow suit. 
Georgia is the canary in the coal mine."
rickwilliamsvideo,Death count is fake!!! Doctors being forced to write covid! This is such a scam! ABC is scum
Lori Carver,This Governor is dangerous IN MY OPINION!!!!!!!!!!!!
I got 5 on it,"It's going to be funny if People's vanity is the reason for America's downfall..
A haircut is not that important😑"
Trey Tison,"Yes, sad woman at desk, she knows best.  Can't get back to normal too soon, so much news to be had still."
art Braza,Fear and virus will kill us all.
cantyouhateme,"Look at how the hair stylist is talking to the reporter with the mask in her hands.  Sure she got gloves on, but she's touching everywhere on the mask that she contaminated it.  It's very likely she's gonna put it back on.  Help us all."
barbara thompson,"I UNDERSTAND THE URGENCY FOR OPENING UP BUSINESS, BUT DO IT WITH SOME SORT OF SENSEABLE PLAN, I REALLY THINK THE GOVERNOR IS OPENING UP TO MANY BUSINESS TO FAST, HIS GREED FOR MONEY IS BLINDING HIS JUDGMENT CALL, THE GOVERNNOR IS A FOOL, AND HE DOESN'T GIVE A CARE, MOVE SLOWLY, HE IS MOVING TOO FAST!, THRUMP IS PLAYING BOTH SIDES OF THE FENCE!!!!🤣😥😪😂"
Robert Hubbard,That owner was the first male stylist I've ever heard that didn't sound gay. Lol
Nacho,"No movies coming out. Restaurants opening up means you need to hire or bring back staff, which means more expenses not just paying them but for equipment, electrical, gas, usage, more cleaning more sanitizing for a few customers who probably wont leave a tip. Does that justify thing, why not add a virus on top of that. I totally understand why some people dont want to go back to work or why some restaurants would rather stay close or do to go order only, not only is it cheaper but not as risky either."
Lee Walsh,"I'm a upstate New Yorker and a die hard Democrat the whole country is watching and praying that things work out good down there but I'm not overoptimistic, stay safe Georgians."
723lion,"Everyone in the world watching GA to see if they become NYC #2, Trump: It's just a Flu."
BENDEK09,COVID 19 yeah baby I'm ready
K Black,"So a month ago, last week of March, we had around 18,000 cases and lockdowns started to happen.  Now, a month later, we are inching toward ONE MILLION cases in the US and it’s time to GO BACK TO WORK????  Why does it seem like at every step of this, we took the wrong turn and we continue to do so??"
Allen Albright,"Masks are a good idea for preventing airborne spread of the virus, however only N 95 masks are protective according to some Chinese studies. So all these people getting close to other people and wearing the same gloves all day are just fooling themselves if they think that those flimsy masks, made by profiteers, will protect them from this virus. Staying away from people is what has to be done at this time. "
Ron Smith,Guy not wearing gloves and his fingers are going thru the persons hair . Whats wrong with this picture  ?
Jennifer Bogacki,"Six feet apart or six feet under...

If you you think about it they didn't care if it was Joe public's wallet affected but as soon as the big wigs money was being lost is suddenly became let's go out and open up. Mean while they are saying this from an undisclosed location.. their summer houses"
Jennifer Bogacki,"Six feet apart or six feet under...

If you you think about it they didn't care if it was Joe public's wallet affected but as soon as the big wigs money was being lost is suddenly became let's go out and open up. Mean while they are saying this from an undisclosed location.. their summer houses"
Debbie ******,You people been listening to fake news to long
t500010000,Fake news
Ayrton Evans,Fake news
Robert Eaves,Fake news
enrico santos,It’s not only the US is fighting this pandemic ... people around the globe is suffering each day... terrorizing the world 🗺!!!
Truth Hurts,"""If Georgia opens up then everybody is gonna die!""
Yeah, I guess that's why grocery stores are all open and you can buy raw, unwrapped fruits and veggies that people have been coughing and sneezing all over and nobody is dying.🤣🤣🤣🤣🤣hsjz"
Jonathan OBrien,Medical malpractice kills 440k on average a year! 2.8 million Americans die a year! How many stadiums is that lmfao get the duck out hear with your manipulating ass
batsonelec C,"I live in SC. The fact so many are not wearing masks and doing the simple things to not spread this is going to kill many thousands more. If everyone was taking it seriously and protecting themselves and others, maybe it wouldn't be too bad. The fact so few are doing the right things means this will end up going bad and it will mean a much longer shutdown next time.  Stupid is as stupid does though."
Sonia Warren,"Reopening is not a good ideal, we have bigger fish to fry SERIOUSLY.  The guidelines are ridiculous and not worth it."
shukra 1963,Who is this weird governor guy ???. Is he normal ???. GEORGIA is going to be the next New York for sure. Oh my god !!!. This guy doesn't care about the Georgia people.
Bruce-Ruhl Design,"2:27 if you have no financial reserves saved up after 10 years of business to stay afloat for a year, then you are not doing good business practices and it's on you. Hope y'all don't kill nobody. Cause if'n you do, somebody is liable to loose their business to a lawsuit. After all this is America and we have States trying to sue China and the WHO, so anybody dies because of a haircut...."
Deuante Kelly,Ain’t nobody forced to reopen nor go out. You’re giving the FREEDOM to do so
President Trump's comment counterinsurgency,"So many places are opening up with full precautions it could be done. The fear will always be there ,we must move forward🇺🇸🇺🇸🇺🇸🇺🇸"
Ally235G,The Governor has blood on his hands.
Dicky Ball,ABC: Anti-American Broadcasting Corporation
gymjoedude,May you all look good in a coffin. Haircut during a pandemic makes sense to me.
Addendum Kebic,"Well, approximately 600,000 die of cancer each year in the US and that's ten times the Coronavirus deaths!!! Nevertheless there is no panic in the streets because of it - am I missing something?!?"
Bigfat Pauly,The more people that die the less people who are unemployed -Trump math
Joel,"FAKE NEWS. CDC says 2,813,503 deaths in 2017, of that 647,457 were from heart disease, 160,201 upper respiratory, 146,383 from stroke, 83,564 from diabetes, 55,672 from the flu......why did this not shock anyone back then."
Trucker Kev The Paid Tourist,bookmark in favs..check in a month see if Georgia succeeds or fails and has with testing in big numbers more cases and death..say told ya so
Safety First,Open or starve the Media wants you to starve for the six o clock news👀
Donald Lemmons,"It appears, Trump and some so called leaders, aren't smarter, than a fifth grader."
Renee Reveles,"Money over life the motto for Georgia. What about the office buildings with air conditioning that don’t allow windows to open, it circulates dust and germs what about the virus. The Las Vegas mayor wanted to volunteer LasVegas as a experiment, Georgia did."
